class,baseline,status,raw_evidence,step_level_mapping,projection_required,allowed_use,rejection_rule,target_reuse_policy
Structural-free perturbation,random masking,primary,controlled perturbation response,Assign each controlled masking response to the perturbed trace step and emit one score per step.,no,primary step-impact predictor,Reject if perturbation changes trace-step alignment or token structure outside the controlled step.,Forbidden except explicitly labeled oracle/control rows: s_B(r_i) must come from a frozen baseline-specific scoring rule and must not copy Stage 2 y_i = Delta_U(r_i).
Structural-free perturbation,token dropout,primary,token dropout sensitivity,Aggregate dropout response by original trace-step membership through every projection in Pi.,yes,primary step-impact predictor,Reject raw token-dropout scores that are not projected to step vectors.,Forbidden except explicitly labeled oracle/control rows: s_B(r_i) must come from a frozen baseline-specific scoring rule and must not copy Stage 2 y_i = Delta_U(r_i).
Structural-free perturbation,span masking,primary,span-level masking sensitivity,Map each masked span to the owning trace step and preserve one score per trace step.,conditional,primary step-impact predictor,Reject span scores that cannot be aligned to trace steps.,Forbidden except explicitly labeled oracle/control rows: s_B(r_i) must come from a frozen baseline-specific scoring rule and must not copy Stage 2 y_i = Delta_U(r_i).
Attribution baselines,gradient attribution,primary_if_white_box_access_exists,token-level gradient evidence,Aggregate token evidence to trace steps through all projections in Pi.,yes,white-box step-impact predictor,Reject unprojected gradient vectors.,s_B(r_i) must be projected from token-level or activation-level evidence through Pi; direct Stage 2 target reuse is forbidden.
Attribution baselines,integrated gradients,primary_if_white_box_access_exists,token-level path attribution evidence,Aggregate token evidence to trace steps through all projections in Pi.,yes,white-box step-impact predictor,Reject any result reported for only selected projections.,s_B(r_i) must be projected from token-level or activation-level evidence through Pi; direct Stage 2 target reuse is forbidden.
Attribution baselines,attention rollout,primary_if_white_box_access_exists,token-level attention flow evidence,Aggregate token evidence to trace steps through all projections in Pi.,yes,white-box step-impact predictor,Reject raw attention weights as final method outputs.,s_B(r_i) must be projected from token-level or activation-level evidence through Pi; direct Stage 2 target reuse is forbidden.
Attribution baselines,activation attribution,primary_if_white_box_access_exists,activation-level evidence,"Assign activation evidence to token or step spans, then aggregate through all projections in Pi.",yes,white-box step-impact predictor,Reject unprojected activation values.,s_B(r_i) must be projected from token-level or activation-level evidence through Pi; direct Stage 2 target reuse is forbidden.
Structure controls,graph removal,primary_diagnostic,node or edge removal response on trace-step dependency graph,Emit per-step scores from controlled graph-element removal while preserving trace-step identity.,no,structural sensitivity diagnostic,Reject if graph corruption is not level-tagged L0-L3.,Forbidden except explicitly labeled oracle/control rows: s_B(r_i) must come from a frozen baseline-specific scoring rule and must not copy Stage 2 y_i = Delta_U(r_i).
Structure controls,edge dropout,primary_diagnostic,controlled edge dropout response,Attribute response to affected incident trace steps and report the induced step-score vector.,no,structural sensitivity diagnostic,Reject if dropout fraction is chosen after Stage 2 results.,Forbidden except explicitly labeled oracle/control rows: s_B(r_i) must come from a frozen baseline-specific scoring rule and must not copy Stage 2 y_i = Delta_U(r_i).
Structure controls,neighborhood rewiring,primary_diagnostic,local graph rewiring response,Assign response to rewired neighborhood steps and emit one score per trace step.,no,structural sensitivity diagnostic,Reject unlabeled rewiring that cannot be reproduced.,Forbidden except explicitly labeled oracle/control rows: s_B(r_i) must come from a frozen baseline-specific scoring rule and must not copy Stage 2 y_i = Delta_U(r_i).
Structure controls,full randomization,primary_diagnostic,fully randomized graph response,Compute step scores after full dependency randomization with original step ids retained.,no,structural sensitivity diagnostic,Reject if original trace-step ids are not retained.,Forbidden except explicitly labeled oracle/control rows: s_B(r_i) must come from a frozen baseline-specific scoring rule and must not copy Stage 2 y_i = Delta_U(r_i).
Generative feedback systems,self-refine,secondary_comparator_not_attribution_baseline,localized edits or response deltas,"Map via step edit localization, response delta sensitivity, or perturbation recovery distance.",no,secondary comparator only,Reject as an attribution baseline.,"s_B(r_i) must be derived from edit localization, response delta sensitivity, or recovery distance; direct Stage 2 target reuse is forbidden."
Generative feedback systems,reflexion,secondary_comparator_not_attribution_baseline,localized feedback or recovery deltas,"Map via step edit localization, response delta sensitivity, or perturbation recovery distance.",no,secondary comparator only,Reject as an attribution baseline.,"s_B(r_i) must be derived from edit localization, response delta sensitivity, or recovery distance; direct Stage 2 target reuse is forbidden."
